,Country,"Density
(P/Km2)",Abbreviation,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change (%),Currency-Code,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Iso3_code,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,txtVALUE,Source
27,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2008,Counts,16.0,GLOTIP
28,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2008,Counts,92.0,GLOTIP
29,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2008,Counts,108.0,GLOTIP
36,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Child,2009,Counts,17.0,GLOTIP
37,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Child,2009,Counts,5.0,GLOTIP
38,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2009,Counts,22.0,GLOTIP
39,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2009,Counts,72.0,GLOTIP
40,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2009,Counts,94.0,GLOTIP
47,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2010,Counts,14.0,GLOTIP
48,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2010,Counts,83.0,GLOTIP
49,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2010,Counts,97.0,GLOTIP
